NIS;Categoria;Consumo;Mes
0141-0076;BT RESIDENCIAL;986;Mayo
0141-0090;BT RESIDENCIAL;1488;Mayo
0141-0100;BT RESIDENCIAL;2126;Mayo
0141-0105;BT RESIDENCIAL;632;Mayo
0141-0108;BT RESIDENCIAL;516;Mayo
0150-0010;BT RESIDENCIAL;1105;Mayo
0150-0015;BT RESIDENCIAL;1458;Mayo
0150-0016;BT RESIDENCIAL;724;Mayo
0150-0050;BT RESIDENCIAL;519;Mayo
0150-0100;BT RESIDENCIAL;1114;Mayo
0150-0025;BT RESIDENCIAL;1229;Mayo
0150-0168;BT RESIDENCIAL;2126;Mayo
0150-0172;BT RESIDENCIAL;792;Mayo
0150-0184;BT RESIDENCIAL;89;Mayo
0150-0188;BT RESIDENCIAL;197;Mayo
0150-0200;BT GENERAL;99;Mayo
0150-0206;BT RESIDENCIAL;54;Mayo
0150-0212;BT RESIDENCIAL;75;Mayo
0150-0218;BT RESIDENCIAL;30;Mayo
0150-0219;BT RESIDENCIAL;30;Mayo
0150-0233;BT RESIDENCIAL;330;Mayo
0150-0243;BT GENERAL;120;Mayo
0150-0410;BT RESIDENCIAL;395;Mayo
0150-0418;BT RESIDENCIAL;409;Mayo
0150-0420;BT GENERAL;120;Mayo
0160-0005;BT RESIDENCIAL;724;Mayo
0160-0030;BT RESIDENCIAL;1112;Mayo
0160-0007;BT RESIDENCIAL;263;Mayo
0160-0010;BT RESIDENCIAL;30;Mayo
0160-0050;BT RESIDENCIAL;2066;Mayo
0160-0105;BT GENERAL;1468;Mayo
0160-0055;BT RESIDENCIAL;30;Mayo
0160-0060;BT RESIDENCIAL;780;Mayo
0160-0112;BT RESIDENCIAL;194;Mayo
0160-0116;BT RESIDENCIAL;761;Mayo
0160-0118;BT RESIDENCIAL;3217;Mayo
0160-0120;BT RESIDENCIAL;306;Mayo
0160-0135;BT RESIDENCIAL;876;Mayo
0199-0010;BT RESIDENCIAL;385;Mayo
0199-0020;BT GENERAL;2518;Mayo
0199-0040;BT RESIDENCIAL;302;Mayo
0199-0050;BT GENERAL;729;Mayo
0199-0060;MT GENERAL;2835;Mayo
0199-0070;BT RESIDENCIAL;30;Mayo
0199-0071;BT GENERAL;283;Mayo
0199-0072;BT GENERAL;650;Mayo
0199-0090;BT RESIDENCIAL;609;Mayo
0199-0110;BT RESIDENCIAL;730;Mayo
0199-0120;BT RESIDENCIAL;362;Mayo
0199-0130;BT RESIDENCIAL;244;Mayo
0199-0160;BT RESIDENCIAL;303;Mayo
0199-0173;BT RESIDENCIAL;888;Mayo
0199-0180;BT RESIDENCIAL;1111;Mayo
0199-0200;BT RESIDENCIAL;1147;Mayo
0199-0220;BT RESIDENCIAL;558;Mayo
0199-0230;BT RESIDENCIAL;229;Mayo
0199-0440;BT RESIDENCIAL;979;Mayo
0199-0240;BT GENERAL;628;Mayo
0199-0350;BT RESIDENCIAL;547;Mayo
0199-0380;BT RESIDENCIAL;345;Mayo
0199-0430;BT RESIDENCIAL;341;Mayo
0199-0520;BT RESIDENCIAL;598;Mayo
0199-0460;BT RESIDENCIAL;219;Mayo
0199-0500;BT GENERAL;30;Mayo
0199-0530;BT RESIDENCIAL;1326;Mayo
0199-0550;BT RESIDENCIAL;876;Mayo
0199-0595;MT GENERAL;225;Mayo
0199-0600;MT GENERAL;682;Mayo
0199-0640;BT RESIDENCIAL;30;Mayo
0199-0700;MT GENERAL;226;Mayo
0200-0040;BT RESIDENCIAL;1051;Mayo
0200-0055;BT RESIDENCIAL;532;Mayo
0200-0070;BT RESIDENCIAL;3795;Mayo
0200-0075;BT RESIDENCIAL;216;Mayo
0200-0100;BT GENERAL;1152;Mayo
0200-0150;BT RESIDENCIAL;1100;Mayo
0200-0105;BT GENERAL;122;Mayo
0200-0180;BT RESIDENCIAL;294;Mayo
0200-0181;BT RESIDENCIAL;741;Mayo
0200-0190;BT RESIDENCIAL;167;Mayo
0200-0198;BT RESIDENCIAL;2827;Mayo
0200-0200;BT RESIDENCIAL;1365;Mayo
0200-0220;BT RESIDENCIAL;469;Mayo
0200-0240;BT RESIDENCIAL;610;Mayo
0200-0280;BT RESIDENCIAL;3009;Mayo
0200-0290;BT RESIDENCIAL;814;Mayo
0200-0330;BT RESIDENCIAL;1827;Mayo
0200-0340;BT RESIDENCIAL;772;Mayo
0200-0500;BT RESIDENCIAL;875;Mayo
0200-0501;BT GENERAL;1225;Mayo
0200-0502;BT RESIDENCIAL;644;Mayo
0200-0503;BT RESIDENCIAL;566;Mayo
0200-0505;BT RESIDENCIAL;442;Mayo
0200-0515;BT RESIDENCIAL;231;Mayo
0200-0518;BT RESIDENCIAL;216;Mayo
0200-0526;BT RESIDENCIAL;504;Mayo
0200-0530;BT GENERAL;1473;Mayo
0200-0534;BT RESIDENCIAL;833;Mayo
0200-0538;BT RESIDENCIAL;1778;Mayo
0200-0541;BT RESIDENCIAL;30;Mayo
0200-0542;BT RESIDENCIAL;653;Mayo
0200-0546;BT RESIDENCIAL;1185;Mayo
0200-0549;BT RESIDENCIAL;631;Mayo
0200-0547;BT RESIDENCIAL;255;Mayo
0200-0550;BT RESIDENCIAL;354;Mayo
0200-0553;BT GENERAL;4514;Mayo
0200-0555;MT GENERAL;4500;Mayo
0201-0020;MT INDUSTRIAL;2835;Mayo
0201-0022;BT GENERAL;2739;Mayo
0201-0030;BT GENERAL;3699;Mayo
0201-0060;MT GENERAL;6750;Mayo
0201-0070;MT GENERAL;936;Mayo
0201-0065;BT GENERAL;1827;Mayo
0201-0066;BT GENERAL;2631;Mayo
0201-0100;MT GENERAL;5610;Mayo
0201-0102;MT GENERAL;1125;Mayo
0201-0157;BT GENERAL;1274;Mayo
0201-0158;BT GENERAL;873;Mayo
0201-0151;BT GENERAL;1724;Mayo
0201-0159;MT GENERAL;2835;Mayo
0201-0160;BT GENERAL;120;Mayo
0201-0162;BT GENERAL;1537;Mayo
0201-0163;BT GENERAL;456;Mayo
0201-0164;BT GENERAL;563;Mayo
0201-0165;BT GENERAL;120;Mayo
0201-0166;BT GENERAL;331;Mayo
0201-0167;BT INDUSTRIAL;2819;Mayo
0201-0168;BT INDUSTRIAL;240;Mayo
0201-0175;BT GENERAL;893;Mayo
0201-0169;BT GENERAL;174;Mayo
0201-0171;BT GENERAL;688;Mayo
0201-0173;BT RESIDENCIAL;71;Mayo
0201-0182;BT GENERAL;240;Mayo
0201-0195;BT GENERAL;981;Mayo
0201-0183;BT GENERAL;240;Mayo
0201-0184;BT INDUSTRIAL;180;Mayo
0201-0186;BT GENERAL;418;Mayo
0201-0187;BT GENERAL;740;Mayo
0201-0400;BT GENERAL;1542;Mayo
0201-0410;BT GENERAL;961;Mayo
0201-0380;MT INDUSTRIAL;8721;Mayo
0201-0390;BT INDUSTRIAL;1233;Mayo
0201-0420;BT INDUSTRIAL;1462;Mayo
0201-0430;BT GENERAL;171;Mayo
0201-0445;MT GENERAL;4180;Mayo
0201-0460;BT GENERAL;2245;Mayo
0201-0465;BT GENERAL;373;Mayo
0201-0480;BT GENERAL;1041;Mayo
0201-0500;MT GENERAL;848;Mayo
0201-0501;MT GENERAL;675;Mayo
0201-0505;MT INDUSTRIAL;2835;Mayo
0201-0515;BT GENERAL;240;Mayo
0201-0547;BT GENERAL;675;Mayo
0201-0550;MT INDUSTRIAL;1125;Mayo
0201-0556;BT RESIDENCIAL;32;Mayo
0201-0558;BT RESIDENCIAL;387;Mayo
0201-0561;BT GENERAL;240;Mayo
0201-0562;BT INDUSTRIAL;1152;Mayo
0201-0564;BT RESIDENCIAL;218;Mayo
0201-0566;BT RESIDENCIAL;120;Mayo
0250-0010;BT RESIDENCIAL;299;Mayo
0250-0045;BT RESIDENCIAL;582;Mayo
0250-0057;BT RESIDENCIAL;594;Mayo
0250-0075;BT RESIDENCIAL;544;Mayo
0250-0085;BT RESIDENCIAL;964;Mayo
0250-0090;BT RESIDENCIAL;994;Mayo
0250-0095;BT RESIDENCIAL;681;Mayo
0250-0102;BT GENERAL;1418;Mayo
0250-0115;BT RESIDENCIAL;622;Mayo
0250-0185;BT RESIDENCIAL;120;Mayo
0250-0235;BT RESIDENCIAL;587;Mayo
0250-0245;BT RESIDENCIAL;1044;Mayo
0250-0215;BT RESIDENCIAL;690;Mayo
0250-0225;BT RESIDENCIAL;144;Mayo
0251-0130;BT RESIDENCIAL;366;Mayo
0252-0155;BT RESIDENCIAL;1467;Mayo
0251-0150;BT RESIDENCIAL;556;Mayo
0251-0165;BT RESIDENCIAL;1482;Mayo
0252-0130;BT RESIDENCIAL;681;Mayo
0252-0145;BT RESIDENCIAL;796;Mayo
0252-0190;BT RESIDENCIAL;891;Mayo
0252-0160;BT RESIDENCIAL;668;Mayo
0252-0175;BT RESIDENCIAL;1099;Mayo
0252-0195;BT RESIDENCIAL;1424;Mayo
0252-0200;BT RESIDENCIAL;2224;Mayo
0252-0215;BT RESIDENCIAL;156;Mayo
0253-0045;BT RESIDENCIAL;564;Mayo
0253-0050;BT RESIDENCIAL;353;Mayo
0253-0056;BT RESIDENCIAL;159;Mayo
0253-0075;BT RESIDENCIAL;803;Mayo
0253-0076;BT RESIDENCIAL;60;Mayo
0253-0077;BT RESIDENCIAL;120;Mayo
0253-0095;BT RESIDENCIAL;791;Mayo
0253-0165;BT RESIDENCIAL;240;Mayo
0253-0185;BT RESIDENCIAL;688;Mayo
0253-0175;BT RESIDENCIAL;3417;Mayo
0253-0220;BT GENERAL;362;Mayo
0254-0015;BT RESIDENCIAL;527;Mayo
0254-0025;BT RESIDENCIAL;490;Mayo
0254-0065;BT RESIDENCIAL;745;Mayo
0254-0070;BT RESIDENCIAL;822;Mayo
0254-0050;BT RESIDENCIAL;120;Mayo
0254-0055;BT RESIDENCIAL;411;Mayo
0254-0075;BT GENERAL;2154;Mayo
0254-0080;BT RESIDENCIAL;823;Mayo
0254-0120;BT RESIDENCIAL;2470;Mayo
0254-0130;BT GENERAL;480;Mayo
0254-0135;BT RESIDENCIAL;1127;Mayo
0254-0145;BT RESIDENCIAL;433;Mayo
0254-0250;BT GENERAL;373;Mayo
0254-0255;BT RESIDENCIAL;373;Mayo
0254-0260;BT GENERAL;386;Mayo
0255-0030;BT RESIDENCIAL;630;Mayo
0255-0035;BT RESIDENCIAL;1527;Mayo
0255-0045;BT RESIDENCIAL;644;Mayo
0255-0055;BT RESIDENCIAL;3076;Mayo
0255-0070;BT RESIDENCIAL;364;Mayo
0255-0075;BT RESIDENCIAL;5314;Mayo
0255-0095;BT RESIDENCIAL;563;Mayo
0255-0100;BT RESIDENCIAL;692;Mayo
0255-0175;BT RESIDENCIAL;171;Mayo
0255-0180;BT RESIDENCIAL;639;Mayo
0255-0185;BT RESIDENCIAL;60;Mayo
0255-0195;BT RESIDENCIAL;166;Mayo
0255-0220;BT RESIDENCIAL;112;Mayo
0256-0040;BT RESIDENCIAL;1092;Mayo
0256-0045;BT RESIDENCIAL;266;Mayo
0256-0055;BT INDUSTRIAL;1292;Mayo
0256-0060;BT RESIDENCIAL;1125;Mayo
0256-0090;BT RESIDENCIAL;343;Mayo
0256-0100;BT RESIDENCIAL;30;Mayo
0256-0120;BT RESIDENCIAL;1942;Mayo
0256-0145;BT RESIDENCIAL;1924;Mayo
0256-0195;BT RESIDENCIAL;485;Mayo
0256-0220;BT RESIDENCIAL;595;Mayo
0256-0235;BT SOCIAL;15;Mayo
0256-0510;BT RESIDENCIAL;2670;Mayo
0256-0545;BT RESIDENCIAL;937;Mayo
0256-0565;BT RESIDENCIAL;1354;Mayo
0256-0520;BT RESIDENCIAL;574;Mayo
0256-0525;BT RESIDENCIAL;697;Mayo
0256-0550;BT RESIDENCIAL;106;Mayo
0256-0570;BT RESIDENCIAL;654;Mayo
0256-0590;BT RESIDENCIAL;841;Mayo
0256-0635;BT RESIDENCIAL;645;Mayo
0256-0655;BT RESIDENCIAL;431;Mayo
0256-0665;BT RESIDENCIAL;1313;Mayo
0256-0700;BT RESIDENCIAL;387;Mayo
0256-0720;BT GENERAL;610;Mayo
0256-0725;BT GENERAL;240;Mayo
0257-0035;BT RESIDENCIAL;997;Mayo
0257-0055;BT RESIDENCIAL;353;Mayo
0257-0065;BT RESIDENCIAL;565;Mayo
0257-0075;BT RESIDENCIAL;881;Mayo
0257-0045;BT RESIDENCIAL;717;Mayo
0257-0085;BT RESIDENCIAL;753;Mayo
0257-0095;BT RESIDENCIAL;139;Mayo
0257-0115;BT RESIDENCIAL;287;Mayo
0257-0125;BT RESIDENCIAL;1474;Mayo
0300-0005;MT INDUSTRIAL;2835;Mayo
0300-0022;BT RESIDENCIAL;60;Mayo
0300-0140;BT RESIDENCIAL;621;Mayo
0300-0141;MT GENERAL;4500;Mayo
0300-0165;MT INDUSTRIAL;2835;Mayo
0300-0170;BT RESIDENCIAL;272;Mayo
0300-0200;BT GENERAL;444;Mayo
0300-0210;BT RESIDENCIAL;905;Mayo
0300-0260;BT GENERAL;650;Mayo
0300-0380;BT RESIDENCIAL;140;Mayo
0300-0460;BT RESIDENCIAL;812;Mayo
0300-0461;BT RESIDENCIAL;1352;Mayo
0300-0465;BT RESIDENCIAL;500;Mayo
0300-0470;BT RESIDENCIAL;2059;Mayo
0300-0510;BT RESIDENCIAL;2524;Mayo
0300-0520;BT RESIDENCIAL;378;Mayo
0300-0540;BT RESIDENCIAL;459;Mayo
0300-0560;BT GENERAL;588;Mayo
0300-0563;BT RESIDENCIAL;120;Mayo
0300-0565;BT RESIDENCIAL;394;Mayo
0300-0567;BT RESIDENCIAL;967;Mayo
0300-0580;BT RESIDENCIAL;64;Mayo
0300-0590;BT GENERAL;300;Mayo
0300-0597;BT GENERAL;204;Mayo
0300-0600;BT RESIDENCIAL;1789;Mayo
0300-0900;MT GENERAL;1125;Mayo
0300-0605;BT RESIDENCIAL;177;Mayo
0301-0050;BT GENERAL;2143;Mayo
0301-0060;BT GENERAL;1450;Mayo
0301-0140;BT GENERAL;635;Mayo
0301-0160;MT GENERAL;3433;Mayo
0301-0080;BT GENERAL;593;Mayo
0301-0150;BT GENERAL;7753;Mayo
0301-0170;BT GENERAL;2255;Mayo
0301-0290;MT GENERAL;4500;Mayo
0301-0300;BT GENERAL;629;Mayo
0301-0310;BT SOCIAL;15;Mayo
0301-0330;BT GENERAL;1379;Mayo
0301-0358;BT GENERAL;2083;Mayo
0301-0390;MT GENERAL;3182;Mayo
0301-0400;MT GENERAL;349;Mayo
0301-0450;BT RESIDENCIAL;30;Mayo
0301-0455;MT GENERAL;2835;Mayo
0301-0506;BT GENERAL;1193;Mayo
0301-0508;BT GENERAL;1338;Mayo
0306-0008;BT RESIDENCIAL;584;Mayo
0306-0013;BT RESIDENCIAL;471;Mayo
0306-0027;BT RESIDENCIAL;3657;Mayo
0306-0034;BT GUBERNAMENTAL;1072;Mayo
0306-0110;BT RESIDENCIAL;812;Mayo
0306-0220;BT RESIDENCIAL;802;Mayo
0306-0227;BT RESIDENCIAL;376;Mayo
0306-0343;MT GENERAL;675;Mayo
0306-0347;BT GENERAL;137;Mayo
0306-0352;BT RESIDENCIAL;653;Mayo
0306-0501;BT RESIDENCIAL;1519;Mayo
0306-0521;BT RESIDENCIAL;287;Mayo
0306-0536;BT RESIDENCIAL;611;Mayo
0306-0604;BT GENERAL;790;Mayo
0306-0634;BT RESIDENCIAL;287;Mayo
0307-0078;BT RESIDENCIAL;970;Mayo
0307-0242;BT RESIDENCIAL;304;Mayo
0330-0005;BT GENERAL;1229;Mayo
0330-0090;BT RESIDENCIAL;639;Mayo
0350-0005;BT RESIDENCIAL;60;Mayo
0350-0015;BT RESIDENCIAL;648;Mayo
0350-0030;BT RESIDENCIAL;444;Mayo
0350-0035;BT RESIDENCIAL;441;Mayo
0350-0045;BT RESIDENCIAL;664;Mayo
0350-0046;BT RESIDENCIAL;478;Mayo
0350-0050;BT RESIDENCIAL;351;Mayo
0350-0055;BT RESIDENCIAL;865;Mayo
0350-0060;BT GENERAL;893;Mayo
0350-0075;BT RESIDENCIAL;902;Mayo
0350-0110;BT GENERAL;583;Mayo
0350-0076;BT RESIDENCIAL;340;Mayo
0350-0095;BT RESIDENCIAL;600;Mayo
0350-0105;MT GENERAL;5833;Mayo
0350-0130;BT RESIDENCIAL;1603;Mayo
0350-0145;BT RESIDENCIAL;890;Mayo
0350-0150;BT RESIDENCIAL;658;Mayo
0350-0180;BT RESIDENCIAL;667;Mayo
0350-0185;BT RESIDENCIAL;1335;Mayo
0350-0205;BT RESIDENCIAL;810;Mayo
0350-0230;BT RESIDENCIAL;1251;Mayo
0350-0235;BT RESIDENCIAL;1114;Mayo
0350-0255;BT RESIDENCIAL;49;Mayo
0350-0265;BT RESIDENCIAL;553;Mayo
0400-0010;BT GENERAL;2317;Mayo
0400-0030;BT RESIDENCIAL;658;Mayo
0400-0031;BT RESIDENCIAL;120;Mayo
0400-0035;BT GENERAL;2504;Mayo
0400-0040;BT RESIDENCIAL;607;Mayo
0400-0045;BT RESIDENCIAL;531;Mayo
0400-0046;BT GENERAL;302;Mayo
0400-0047;BT RESIDENCIAL;253;Mayo
0400-0048;BT GENERAL;600;Mayo
0400-0049;BT GENERAL;375;Mayo
0400-0050;BT RESIDENCIAL;343;Mayo
0400-0051;BT RESIDENCIAL;30;Mayo
0400-0060;BT GENERAL;1835;Mayo
0400-0061;BT RESIDENCIAL;333;Mayo
0400-0062;BT RESIDENCIAL;283;Mayo
0400-0063;BT RESIDENCIAL;304;Mayo
0400-0065;BT RESIDENCIAL;729;Mayo
0400-0067;BT RESIDENCIAL;672;Mayo
0400-0068;BT RESIDENCIAL;460;Mayo
0400-0071;BT RESIDENCIAL;142;Mayo
0400-0072;BT RESIDENCIAL;332;Mayo
0400-0073;BT RESIDENCIAL;286;Mayo
0400-0074;BT RESIDENCIAL;424;Mayo
0400-0075;BT GENERAL;1482;Mayo
0400-0076;BT RESIDENCIAL;270;Mayo
0400-0077;BT RESIDENCIAL;320;Mayo
0400-0079;BT RESIDENCIAL;137;Mayo
0400-0116;BT GENERAL;120;Mayo
0400-0135;BT RESIDENCIAL;700;Mayo
0400-0136;BT RESIDENCIAL;667;Mayo
0400-0154;BT GENERAL;344;Mayo
0400-0200;BT GENERAL;3102;Mayo
0400-0175;BT RESIDENCIAL;1543;Mayo
0400-0191;BT GENERAL;223;Mayo
0400-0195;BT RESIDENCIAL;941;Mayo
0400-0205;BT RESIDENCIAL;30;Mayo
0400-0210;BT RESIDENCIAL;600;Mayo
0400-0215;BT RESIDENCIAL;230;Mayo
0400-0218;BT RESIDENCIAL;424;Mayo
0400-0219;BT RESIDENCIAL;120;Mayo
0400-0220;BT RESIDENCIAL;349;Mayo
0400-0221;BT RESIDENCIAL;933;Mayo
0400-0222;BT RESIDENCIAL;479;Mayo
0400-0230;BT RESIDENCIAL;746;Mayo
0400-0240;BT RESIDENCIAL;231;Mayo
0400-0250;BT RESIDENCIAL;398;Mayo
0400-0270;BT RESIDENCIAL;1071;Mayo
0400-0273;BT SOCIAL;15;Mayo
0400-0273;BT SOCIAL;15;Mayo
0400-0273;BT SOCIAL;15;Mayo
0400-0275;BT RESIDENCIAL;410;Mayo
0400-0290;BT RESIDENCIAL;621;Mayo
0400-0300;BT RESIDENCIAL;453;Mayo
0410-0100;BT GENERAL;600;Mayo
0410-0155;BT RESIDENCIAL;210;Mayo
0410-0165;BT RESIDENCIAL;963;Mayo
0410-0167;BT RESIDENCIAL;428;Mayo
0410-0180;BT RESIDENCIAL;120;Mayo
0410-0182;BT RESIDENCIAL;603;Mayo
0410-0183;BT RESIDENCIAL;271;Mayo
0410-0185;BT RESIDENCIAL;244;Mayo
0410-0186;BT RESIDENCIAL;364;Mayo
0410-0190;BT RESIDENCIAL;196;Mayo
0410-0191;BT RESIDENCIAL;214;Mayo
0410-0192;BT RESIDENCIAL;322;Mayo
0410-0193;BT RESIDENCIAL;299;Mayo
0410-0194;BT RESIDENCIAL;247;Mayo
0410-0195;BT RESIDENCIAL;192;Mayo
0410-0196;BT RESIDENCIAL;174;Mayo
0410-0197;BT RESIDENCIAL;300;Mayo
0410-0198;BT RESIDENCIAL;247;Mayo
0410-0199;BT RESIDENCIAL;98;Mayo
0410-0200;BT RESIDENCIAL;115;Mayo
0410-0201;BT RESIDENCIAL;274;Mayo
0410-0202;BT RESIDENCIAL;518;Mayo
0410-0203;BT RESIDENCIAL;83;Mayo
0410-0204;BT RESIDENCIAL;60;Mayo
0410-0205;BT RESIDENCIAL;254;Mayo
0410-0206;BT RESIDENCIAL;385;Mayo
0410-0207;BT RESIDENCIAL;245;Mayo
0410-0208;BT RESIDENCIAL;104;Mayo
0410-0209;BT RESIDENCIAL;350;Mayo
0420-0080;BT RESIDENCIAL;1111;Mayo
0420-0095;BT RESIDENCIAL;229;Mayo
0420-0105;BT GENERAL;1159;Mayo
0420-0107;BT GENERAL;3258;Mayo
0420-0165;BT GENERAL;4853;Mayo
0421-0020;BT RESIDENCIAL;175;Mayo
0421-0045;BT RESIDENCIAL;299;Mayo
0421-0065;BT RESIDENCIAL;788;Mayo
0421-0075;BT RESIDENCIAL;128;Mayo
0421-0040;BT RESIDENCIAL;707;Mayo
0422-0040;BT RESIDENCIAL;237;Mayo
0422-0050;BT RESIDENCIAL;190;Mayo
0422-0060;BT RESIDENCIAL;621;Mayo
0422-0065;BT RESIDENCIAL;568;Mayo
0422-0070;BT RESIDENCIAL;452;Mayo
0422-0075;BT RESIDENCIAL;257;Mayo
0422-0076;BT RESIDENCIAL;588;Mayo
0422-0080;BT RESIDENCIAL;720;Mayo
0422-0090;BT RESIDENCIAL;505;Mayo
0422-0100;BT RESIDENCIAL;1256;Mayo
0422-0105;BT RESIDENCIAL;120;Mayo
0422-0125;BT RESIDENCIAL;205;Mayo
0422-0135;BT RESIDENCIAL;255;Mayo
0422-0140;BT RESIDENCIAL;557;Mayo
0422-0145;BT RESIDENCIAL;351;Mayo
0422-0150;BT RESIDENCIAL;371;Mayo
0422-0152;BT RESIDENCIAL;420;Mayo
0422-0155;BT RESIDENCIAL;395;Mayo
0422-0160;BT RESIDENCIAL;717;Mayo
0422-0163;BT RESIDENCIAL;768;Mayo
0422-0165;BT RESIDENCIAL;228;Mayo
0422-0175;BT RESIDENCIAL;188;Mayo
0422-0180;BT RESIDENCIAL;447;Mayo
0422-0190;BT RESIDENCIAL;225;Mayo
0423-0030;BT RESIDENCIAL;1258;Mayo
0423-0035;BT RESIDENCIAL;286;Mayo
0423-0040;BT RESIDENCIAL;641;Mayo
0423-0050;BT RESIDENCIAL;499;Mayo
0424-0020;BT RESIDENCIAL;165;Mayo
0424-0030;BT RESIDENCIAL;304;Mayo
0424-0035;BT RESIDENCIAL;268;Mayo
0425-0050;BT GENERAL;1525;Mayo
0425-0055;BT RESIDENCIAL;312;Mayo
0425-0065;BT GENERAL;676;Mayo
0425-0070;BT RESIDENCIAL;921;Mayo
0426-0020;BT GENERAL;2488;Mayo
0426-0025;BT GENERAL;183;Mayo
0426-0041;BT GENERAL;335;Mayo
0426-0150;BT INDUSTRIAL;489;Mayo
0426-0160;BT RESIDENCIAL;515;Mayo
0426-0165;BT GENERAL;841;Mayo
0427-0010;BT RESIDENCIAL;434;Mayo
0427-0020;BT RESIDENCIAL;694;Mayo
0427-0025;BT GENERAL;120;Mayo
0427-0040;BT RESIDENCIAL;474;Mayo
0427-0045;BT GENERAL COOPERATIVA;1083;Mayo
0427-0051;BT RESIDENCIAL;174;Mayo
0427-0052;BT GENERAL;124;Mayo
0427-0054;BT GENERAL;241;Mayo
0427-0055;BT RESIDENCIAL;667;Mayo
0427-0065;BT RESIDENCIAL;354;Mayo
0427-0075;BT GENERAL;1736;Mayo
0427-0080;BT RESIDENCIAL;349;Mayo
0427-0101;BT RESIDENCIAL;307;Mayo
0427-0120;BT GENERAL;347;Mayo
0427-0125;BT RESIDENCIAL;30;Mayo
0427-0127;BT RESIDENCIAL;231;Mayo
0427-0131;BT RESIDENCIAL;469;Mayo
0427-0140;BT RESIDENCIAL;574;Mayo
0427-0145;BT RESIDENCIAL;511;Mayo
0427-0155;BT RESIDENCIAL;1303;Mayo
0427-0170;BT GENERAL;529;Mayo
0427-0173;BT GENERAL;752;Mayo
0427-0175;BT RESIDENCIAL;339;Mayo
0430-0001;BT RESIDENCIAL;381;Mayo
0430-0002;BT RESIDENCIAL;504;Mayo
0430-0003;BT RESIDENCIAL;464;Mayo
0430-0004;BT RESIDENCIAL;372;Mayo
0430-0061;BT RESIDENCIAL;374;Mayo
0430-0062;BT RESIDENCIAL;155;Mayo
0430-0081;BT RESIDENCIAL;225;Mayo
0430-0090;BT RESIDENCIAL;343;Mayo
0430-0100;BT RESIDENCIAL;267;Mayo
0430-0110;BT RESIDENCIAL;379;Mayo
0430-0120;BT RESIDENCIAL;367;Mayo
0430-0121;BT RESIDENCIAL;241;Mayo
0430-0122;BT RESIDENCIAL;131;Mayo
0430-0123;BT RESIDENCIAL;37;Mayo
0430-0145;MT GENERAL;6750;Mayo
0430-0165;MT GENERAL;2025;Mayo
0430-0180;BT RESIDENCIAL;151;Mayo
0430-0185;BT GENERAL;400;Mayo
0430-0190;BT RESIDENCIAL;568;Mayo
0430-0210;BT RESIDENCIAL;289;Mayo
0430-0220;BT RESIDENCIAL;390;Mayo
0430-0230;BT RESIDENCIAL;167;Mayo
0430-0235;BT RESIDENCIAL;497;Mayo
0430-0240;BT RESIDENCIAL;345;Mayo
0430-0245;BT RESIDENCIAL;488;Mayo
0430-0260;BT RESIDENCIAL;974;Mayo
0430-0265;BT RESIDENCIAL;205;Mayo
0430-0266;BT RESIDENCIAL;291;Mayo
0430-0270;BT RESIDENCIAL;194;Mayo
0430-0280;BT RESIDENCIAL;442;Mayo
0430-0285;BT RESIDENCIAL;120;Mayo
0430-0286;BT RESIDENCIAL;684;Mayo
0430-0290;BT RESIDENCIAL;224;Mayo
0430-0295;BT RESIDENCIAL;975;Mayo
0430-0300;BT RESIDENCIAL;387;Mayo
0430-0301;BT RESIDENCIAL;450;Mayo
0430-0302;BT RESIDENCIAL;263;Mayo
0430-0305;BT RESIDENCIAL;699;Mayo
0430-0310;BT RESIDENCIAL;265;Mayo
0430-0325;BT RESIDENCIAL;686;Mayo
0430-0340;BT RESIDENCIAL;542;Mayo
0430-0355;BT RESIDENCIAL;780;Mayo
0430-0365;BT GENERAL;1090;Mayo
0431-0030;BT RESIDENCIAL;80;Mayo
0431-0045;BT RESIDENCIAL;333;Mayo
0431-0050;BT RESIDENCIAL;320;Mayo
0431-0051;BT RESIDENCIAL;269;Mayo
0431-0055;BT RESIDENCIAL;268;Mayo
0431-0060;BT RESIDENCIAL;221;Mayo
0431-0065;BT RESIDENCIAL;323;Mayo
0431-0075;BT RESIDENCIAL;39;Mayo
0431-0080;BT RESIDENCIAL;699;Mayo
0432-0035;BT RESIDENCIAL;252;Mayo
0432-0060;BT RESIDENCIAL;281;Mayo
0432-0061;BT RESIDENCIAL;714;Mayo
0432-0065;BT RESIDENCIAL;30;Mayo
0432-0066;BT RESIDENCIAL;371;Mayo
0432-0075;BT RESIDENCIAL;681;Mayo
0432-0085;BT RESIDENCIAL;1060;Mayo
0432-0095;BT RESIDENCIAL;541;Mayo
0432-0100;BT RESIDENCIAL;237;Mayo
0432-0105;BT RESIDENCIAL;218;Mayo
0432-0140;BT RESIDENCIAL;284;Mayo
0432-0150;BT RESIDENCIAL;406;Mayo
0432-0160;BT RESIDENCIAL;401;Mayo
0434-0011;BT RESIDENCIAL;60;Mayo
0434-0012;BT RESIDENCIAL;347;Mayo
0434-0030;BT RESIDENCIAL;300;Mayo
0434-0040;BT RESIDENCIAL;227;Mayo
0434-0050;BT RESIDENCIAL;171;Mayo
0434-0070;BT RESIDENCIAL;155;Mayo
0434-0080;BT RESIDENCIAL;30;Mayo
